,name,price,brand,country,category
195,#2564 OnePlus 6T 6/128GB Mirror Black,32900,OnePlus,China,смартфон
196,#2754 Redmi 7 3/32GB Black,9900,Xiaomi,China,смартфон
197,#2493 Apple Watch Series 4 GPS 40mm Silver Aluminum Case with Seashell Sport Loop,28900,Apple,USA,умные часы
198,#2266 Xiaomi Redmi Note 5 4/64Gb Black,11980,Xiaomi,China,смартфон
199,#2535 Apple iPhone Xr 64GB Red,49510,Apple,USA,смартфон
200,#2659 Samsung Galaxy S9 128GB золотой,34890,Samsung,South Korea,смартфон
201,"#2757 Ноутбук Xiaomi Mi Notebook 15.6 Lite (Intel Core i5 8250U 1600 MHz/15.6""/1920x1080/8GB/1128GB HDD+SSD/DVD нет/NVIDIA GeForce MX110/Wi-Fi/Bluetooth/Windows 10 Home) White",46600,Xiaomi,China,ноутбук
202,#2408 Xiaomi Mi Mix 2S 6/128Gb Black Global,27590,Xiaomi,China,смартфон
203,#2285 OnePlus 6 8/128GB Midnight Black (черный матовый),26900,OnePlus,China,смартфон
204,#2642 Xiaomi Mi8 8/128GB Black,26500,Xiaomi,China,смартфон
205,#2675 LG V40 ThinQ 6/128Gb Серый,39540,LG,South Korea,смартфон
206,#2214 Samsung Galaxy S9+ 64Gb Черный бриллиант,36830,Samsung,South Korea,смартфон
207,#2713 Samsung Galaxy Watch Active Нежная Пудра,13110,Samsung,South Korea,умные часы
208,#2633 Xiaomi Mi Mix3 6/128Gb Black,30900,Xiaomi,China,смартфон
209,#2260 Наушники Beats X Wireless Black,7150,Beats,USA,Bluetooth-наушники с микрофоном
210,#2476 Apple iPhone Xs Max 512GB Dual SIM White,113990,Apple,USA,смартфон
